Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-05-15,CUST068,Female,61,Beauty,3,50,150
2,2023-06-19,CUST007,Female,28,Beauty,4,50,200
3,2023-09-10,CUST097,Female,38,Home,5,300,1500
4,2023-07-02,CUST100,Female,63,Beauty,1,50,50
5,2023-03-06,CUST012,Female,62,Sports,3,200,600
6,2023-12-10,CUST005,Female,26,Sports,5,200,1000
7,2023-12-10,CUST060,Female,31,Electronics,5,1000,5000
8,2023-04-11,CUST047,Male,49,Sports,3,200,600
9,2023-11-07,CUST030,Male,39,Sports,1,200,200
10,2023-03-19,CUST047,Male,50,Electronics,1,1000,1000
11,2023-01-18,CUST038,Female,61,Beauty,4,50,200
12,2023-04-27,CUST019,Male,42,Sports,1,200,200
13,2023-05-15,CUST003,Female,28,Home,2,300,600
14,2023-02-24,CUST004,Female,20,Home,3,300,900
15,2023-03-03,CUST097,Male,32,Electronics,2,1000,2000
16,2023-02-20,CUST061,Male,31,Home,3,300,900
17,2023-04-25,CUST095,Female,58,Books,1,20,20
18,2023-10-16,CUST066,Female,52,Home,2,300,600
19,2023-07-13,CUST064,Female,49,Books,3,20,60
20,2023-01-11,CUST002,Female,58,Clothing,3,500,1500
21,2023-01-31,CUST077,Male,35,Beauty,2,50,100
22,2023-01-04,CUST039,Female,59,Clothing,1,500,500
23,2023-12-27,CUST088,Female,25,Sports,5,200,1000
24,2023-06-18,CUST063,Female,26,Home,4,300,1200
25,2023-11-11,CUST096,Female,39,Clothing,1,500,500
26,2023-01-17,CUST025,Female,30,Electronics,4,1000,4000
27,2023-01-20,CUST018,Male,61,Books,5,20,100
28,2023-12-25,CUST096,Male,23,Home,3,300,900
29,2023-02-28,CUST054,Female,27,Home,5,300,1500
30,2023-10-19,CUST100,Male,25,Books,2,20,40
31,2023-04-18,CUST022,Male,50,Home,5,300,1500
32,2023-11-22,CUST081,Female,48,Home,4,300,1200
33,2023-10-05,CUST098,Male,49,Beauty,4,50,200
34,2023-09-21,CUST047,Female,56,Clothing,4,500,2000
35,2023-10-25,CUST092,Female,55,Home,3,300,900
36,2023-02-12,CUST024,Male,51,Beauty,4,50,200
37,2023-01-13,CUST095,Male,39,Sports,3,200,600
38,2023-03-20,CUST034,Male,39,Beauty,1,50,50
39,2023-01-06,CUST079,Female,40,Electronics,2,1000,2000
40,2023-01-23,CUST092,Male,58,Home,3,300,900
41,2023-09-12,CUST052,Female,60,Beauty,1,50,50
42,2023-06-29,CUST017,Female,28,Electronics,1,1000,1000
43,2023-06-17,CUST031,Female,45,Clothing,3,500,1500
44,2023-06-27,CUST027,Female,28,Beauty,3,50,150
45,2023-10-19,CUST089,Female,35,Books,2,20,40
46,2023-09-10,CUST050,Male,38,Home,3,300,900
47,2023-10-13,CUST070,Female,35,Sports,2,200,400
48,2023-02-12,CUST095,Female,60,Clothing,1,500,500
49,2023-03-20,CUST028,Male,58,Electronics,4,1000,4000
50,2023-08-06,CUST071,Female,34,Electronics,4,1000,4000
51,2023-08-13,CUST041,Female,51,Clothing,3,500,1500
52,2023-06-10,CUST070,Female,29,Books,5,20,100
53,2023-06-29,CUST001,Male,44,Home,4,300,1200
54,2023-10-26,CUST072,Male,63,Books,4,20,80
55,2023-01-13,CUST046,Male,38,Books,3,20,60
56,2023-11-23,CUST006,Female,30,Sports,3,200,600
57,2023-11-04,CUST024,Female,61,Books,3,20,60
58,2023-10-20,CUST042,Female,31,Clothing,5,500,2500
59,2023-06-03,CUST013,Female,60,Books,2,20,40
60,2023-10-05,CUST044,Male,35,Home,5,300,1500
61,2023-02-12,CUST100,Male,19,Sports,3,200,600
62,2023-11-24,CUST013,Female,28,Books,5,20,100
63,2023-12-31,CUST059,Male,58,Home,2,300,600
64,2023-10-09,CUST017,Female,54,Beauty,3,50,150
65,2023-05-23,CUST005,Male,18,Sports,5,200,1000
66,2023-08-17,CUST072,Female,57,Home,2,300,600
67,2023-01-22,CUST069,Male,19,Electronics,5,1000,5000
68,2023-07-19,CUST032,Female,30,Beauty,5,50,250
69,2023-04-15,CUST042,Male,37,Home,2,300,600
70,2023-04-19,CUST016,Male,25,Electronics,4,1000,4000
71,2023-07-04,CUST032,Female,47,Books,2,20,40
72,2023-01-21,CUST030,Female,45,Beauty,4,50,200
73,2023-01-14,CUST068,Male,60,Electronics,5,1000,5000
74,2023-01-10,CUST091,Female,46,Electronics,3,1000,3000
75,2023-12-02,CUST006,Male,39,Home,1,300,300
76,2023-12-08,CUST009,Male,35,Books,2,20,40
77,2023-05-04,CUST038,Male,57,Beauty,3,50,150
78,2023-11-11,CUST092,Female,35,Books,1,20,20
79,2023-06-28,CUST024,Female,45,Electronics,5,1000,5000
80,2023-02-26,CUST001,Female,48,Home,3,300,900
81,2023-12-03,CUST015,Male,56,Home,3,300,900
82,2023-07-06,CUST049,Male,35,Home,3,300,900
83,2023-05-28,CUST087,Male,37,Sports,5,200,1000
84,2023-01-10,CUST081,Male,49,Books,3,20,60
85,2023-09-10,CUST032,Female,63,Clothing,5,500,2500
86,2023-09-11,CUST070,Male,28,Books,2,20,40
87,2023-03-10,CUST040,Male,29,Electronics,2,1000,2000
88,2023-05-25,CUST096,Male,51,Sports,2,200,400
89,2023-08-03,CUST056,Female,45,Sports,1,200,200
90,2023-09-14,CUST004,Female,39,Sports,2,200,400
91,2023-02-06,CUST059,Female,21,Sports,2,200,400
92,2023-10-27,CUST066,Female,27,Books,1,20,20
93,2023-01-06,CUST087,Female,31,Home,3,300,900
94,2023-01-30,CUST040,Male,48,Home,2,300,600
95,2023-01-18,CUST005,Male,46,Electronics,2,1000,2000
96,2023-10-08,CUST056,Male,41,Books,1,20,20
97,2023-06-01,CUST021,Male,18,Electronics,5,1000,5000
98,2023-03-24,CUST036,Male,50,Sports,5,200,1000
99,2023-07-03,CUST073,Male,57,Sports,3,200,600
100,2023-05-09,CUST016,Female,42,Clothing,5,500,2500
101,2023-10-17,CUST020,Female,48,Sports,1,200,200
102,2023-10-19,CUST098,Female,57,Beauty,4,50,200
103,2023-08-17,CUST065,Male,48,Home,1,300,300
104,2023-02-22,CUST055,Male,35,Home,4,300,1200
105,2023-04-20,CUST030,Male,30,Sports,3,200,600
106,2023-07-11,CUST068,Female,55,Sports,1,200,200
107,2023-12-03,CUST001,Female,42,Beauty,4,50,200
108,2023-03-29,CUST029,Female,56,Sports,2,200,400
109,2023-06-29,CUST052,Female,23,Electronics,4,1000,4000
110,2023-11-28,CUST033,Male,28,Electronics,4,1000,4000
111,2023-04-06,CUST100,Female,51,Home,1,300,300
112,2023-04-12,CUST074,Female,58,Home,3,300,900
113,2023-04-07,CUST036,Female,34,Sports,2,200,400
114,2023-08-05,CUST050,Female,50,Books,1,20,20
115,2023-09-08,CUST048,Male,42,Sports,4,200,800
116,2023-07-31,CUST100,Female,59,Clothing,4,500,2000
117,2023-10-28,CUST021,Female,60,Beauty,4,50,200
118,2023-06-28,CUST017,Female,43,Electronics,5,1000,5000
119,2023-01-04,CUST004,Male,47,Sports,1,200,200
120,2023-11-16,CUST033,Female,50,Sports,2,200,400
121,2023-01-25,CUST086,Male,44,Electronics,4,1000,4000
122,2023-08-23,CUST040,Female,64,Beauty,2,50,100
123,2023-10-29,CUST074,Female,59,Home,4,300,1200
124,2023-01-12,CUST076,Female,29,Sports,2,200,400
125,2023-01-10,CUST030,Female,38,Clothing,5,500,2500
126,2023-04-07,CUST006,Male,57,Books,5,20,100
127,2023-09-11,CUST050,Male,50,Home,1,300,300
128,2023-02-15,CUST078,Female,52,Home,1,300,300
129,2023-10-21,CUST041,Male,35,Electronics,4,1000,4000
130,2023-09-30,CUST087,Male,64,Beauty,5,50,250
131,2023-03-12,CUST087,Male,57,Beauty,4,50,200
132,2023-02-09,CUST019,Female,60,Beauty,2,50,100
133,2023-07-18,CUST061,Female,64,Clothing,1,500,500
134,2023-08-31,CUST086,Female,35,Home,1,300,300
135,2023-06-15,CUST020,Male,60,Home,5,300,1500
136,2023-11-17,CUST009,Male,62,Clothing,4,500,2000
137,2023-07-02,CUST061,Female,30,Sports,5,200,1000
138,2023-09-19,CUST067,Male,53,Books,4,20,80
139,2023-10-18,CUST046,Female,32,Beauty,3,50,150
140,2023-06-07,CUST007,Male,51,Home,5,300,1500
141,2023-09-11,CUST030,Male,36,Home,4,300,1200
142,2023-07-05,CUST057,Female,18,Electronics,5,1000,5000
143,2023-05-20,CUST060,Male,24,Books,3,20,60
144,2023-10-09,CUST008,Female,31,Electronics,4,1000,4000
145,2023-05-11,CUST053,Female,22,Sports,1,200,200
146,2023-09-26,CUST029,Male,63,Electronics,3,1000,3000
147,2023-11-12,CUST070,Male,55,Sports,4,200,800
148,2023-09-07,CUST017,Male,45,Books,2,20,40
149,2023-06-06,CUST092,Male,25,Books,2,20,40
150,2023-11-14,CUST091,Female,64,Books,4,20,80
151,2023-01-29,CUST056,Female,35,Books,4,20,80
152,2023-08-25,CUST061,Female,35,Clothing,2,500,1000
153,2023-09-18,CUST006,Male,37,Electronics,2,1000,2000
154,2023-08-28,CUST099,Male,33,Clothing,2,500,1000
155,2023-08-14,CUST033,Female,38,Beauty,1,50,50
156,2023-01-23,CUST079,Female,47,Sports,2,200,400
157,2023-08-15,CUST020,Female,56,Sports,3,200,600
158,2023-03-04,CUST075,Female,55,Electronics,1,1000,1000
159,2023-06-10,CUST075,Male,18,Electronics,5,1000,5000
160,2023-05-14,CUST097,Female,28,Electronics,5,1000,5000
161,2023-08-13,CUST001,Male,50,Beauty,3,50,150
162,2023-04-23,CUST065,Male,49,Electronics,2,1000,2000
163,2023-02-14,CUST027,Female,26,Electronics,4,1000,4000
164,2023-03-22,CUST042,Male,55,Home,2,300,600
165,2023-11-26,CUST040,Male,25,Books,5,20,100
166,2023-07-18,CUST003,Female,63,Beauty,5,50,250
167,2023-06-23,CUST046,Female,58,Home,5,300,1500
168,2023-01-15,CUST015,Female,43,Clothing,3,500,1500
169,2023-02-14,CUST019,Male,30,Clothing,1,500,500
170,2023-08-30,CUST058,Male,46,Beauty,1,50,50
171,2023-06-07,CUST088,Male,56,Sports,1,200,200
172,2023-01-16,CUST003,Female,47,Electronics,1,1000,1000
173,2023-09-10,CUST066,Female,28,Books,3,20,60
174,2023-08-15,CUST016,Female,30,Beauty,3,50,150
175,2023-05-29,CUST032,Male,35,Sports,5,200,1000
176,2023-11-14,CUST088,Male,51,Clothing,4,500,2000
177,2023-10-06,CUST072,Female,38,Electronics,4,1000,4000
178,2023-03-19,CUST070,Male,46,Electronics,1,1000,1000
179,2023-02-12,CUST014,Female,40,Sports,2,200,400
180,2023-09-01,CUST095,Female,28,Clothing,3,500,1500
181,2023-07-05,CUST044,Male,28,Sports,1,200,200
182,2023-06-26,CUST015,Male,24,Books,1,20,20
183,2023-10-19,CUST064,Female,36,Beauty,2,50,100
184,2023-12-24,CUST004,Female,41,Home,3,300,900
185,2023-05-26,CUST029,Female,40,Home,3,300,900
186,2023-07-22,CUST099,Female,22,Electronics,4,1000,4000
187,2023-05-05,CUST044,Female,25,Clothing,1,500,500
188,2023-08-21,CUST040,Female,31,Home,4,300,1200
189,2023-12-18,CUST026,Male,57,Sports,3,200,600
